0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,0.0,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,1.2747851273,0.0,0.0,1.0,2.1052631579,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,1.2747851273,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.1052631579
0.0,0.0,1.0,0.0,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,1.2747851273,0.0,2.1052631579,2.1052631579,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2747851273,0.0,2.1052631579,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2747851273,2.1052631579,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2747851273,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2747851273,2.1052631579,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,0.2747851273,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.1052631579,2.1052631579,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2747851273,2.1052631579
2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,2.1052631579,0.2747851273,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.1052631579
